Reaction	Count
['[H][C]1([H])[O][C]2[O][Li][O]2[C]1([H])[H]'] -> ['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][O]1']	8
['[Li][O]1[Li][O]2[Li][O][C]12'] -> ['[Li]1[O]2[Li][O]3[Li][O]1[C]23']	7
['[Li]1[O]2[Li][O]3[Li][O]1[C]23'] -> ['[Li][O]1[Li][O]2[Li][O][C]12']	7
['[Li][O]1[Li]2[O][C]21[O]'] -> ['[Li][O]1[Li]2[O][C]21=[O]']	7
['[O]=[C]12[O][Li]1[O]2'] -> ['[O][C]1[O][Li][O]1']	7
['[Li]1[O][C]2[O][Li][O]12'] -> ['[Li][O][C]12[O][Li]1[O]2']	7
['[Li][O]1[Li]2[O][C]21=[O]'] -> ['[Li][O]1[Li]2[O][C]21[O]']	6
['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]']	6
['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li][Li]']	6
['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][O]1'] -> ['[H][C]([H])[C]([H])[H]', '[O][C]1[O][Li][O]1']	6
['[Li]1[O][C]23[O][Li]2[O]13'] -> ['[Li][O][C]1[O][Li][O]1']	6
['[Li][O]1[Li]2[O]3[Li][O][C]213'] -> ['[Li]1[O]2[Li][O]3[Li]4[O]1[C]423']	5
['[Li]', '[O][C]1[O][Li][O]1'] -> ['[Li][O][C]1[O][Li][O]1']	5
['[O][C]1[O][Li][O]1'] -> ['[Li][O][C]([O])[O]']	5
['[Li][O][C]12[O][Li]1[O]2'] -> ['[Li]1[O][C]2[O][Li][O]12']	5
['[Li][O]1[Li][O]2[Li]3[O][C]312'] -> ['[Li]1[O]2[Li][O]3[Li]4[O]1[C]423']	5
['[H][C]1([H])[O][C]2([O][Li]2[Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]']	5
['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H][Li]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H][Li]']	4
['[H][C]1([H])[O][C](=[O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	4
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H][Li]'] -> ['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H][Li]']	4
['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O]([Li])[C]1([H])[H]']	4
['[Li][O]1[Li][O]2[Li][O][C]12'] -> ['[Li][O]([Li])[C]1[O][Li][O]1']	4
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li][O][C]1[O][Li][O]1'] -> ['[H][C]1([H])[O][C]([O][Li][O][C]2[O][Li][O]2)[O][C]1([H])[H]']	4
['[H][C]1([H])[O][C]([O][Li][O][C]2[O][Li][O]2)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li][O][C]1[O][Li][O]1']	4
['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H][Li]'] -> ['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]', '[Li]']	4
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C]([O]([Li])[Li])[O][C]1([H])[H]']	4
['[Li][O][C]1[O][Li][O]1'] -> ['[Li]1[O][C]23[O][Li]2[O]13']	4
['[Li]1[O]2[Li][O]3[Li]4[O]1[C]423'] -> ['[Li][O]1[Li]2[O]3[Li][O][C]213']	4
['[Li][O]1[Li]2[O][C]21=[O]'] -> ['[Li][O]1[Li][O][C]1=[O]']	4
['[Li]1[O]2[Li][O]3[Li]4[O]1[C]423'] -> ['[Li][O]1[Li][O]2[Li]3[O][C]312']	4
['[Li][O]1[Li][O][C]1=[O]'] -> ['[Li][O]1[Li]2[O][C]21=[O]']	4
['[Li][O]1[Li]2[O][C]21[O]'] -> ['[Li][O]1[Li][O][C]1[O]']	4
['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2([O][Li]2[Li])[O][C]1([H])[H]']	4
['[Li][O]1[Li][O][C]1[O]'] -> ['[Li][O]1[Li]2[O][C]21[O]']	4
['[H][C]1([H])[O][C]2([O]3[Li][Li]3)[O][C]12([H])[H]'] -> ['[H][C]1([H])[O][C]([O]2[Li][Li]2)[O][C]1([H])[H]']	4
['[H][C]1([H])[O][C]([O]2[Li][Li]2)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2([O]3[Li][Li]3)[O][C]12([H])[H]']	4
['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]1([H])[O]=[C](=[O])[O]([Li])[C]1([H])[H]']	3
['[Li][O][C]([O])[O][Li]'] -> ['[Li][O][C]1[O][Li][O]1']	3
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O][Li])[O][C]1([H])[H]']	3
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]', '[Li]']	3
['[Li]1[O][C]2=[O][Li][O]12'] -> ['[Li]1[O][C]23[O][Li]2[O]13']	3
['[Li][O]([Li])[C]12[O][Li]1[O]2'] -> ['[Li][O]1[Li][O]2[Li]3[O][C]312']	3
['[Li][O]1[Li][O]2[Li]3[O][C]312'] -> ['[Li][O]([Li])[C]12[O][Li]1[O]2']	3
['[Li][O]([Li])[C]1[O][Li][O]1'] -> ['[Li][O]1[Li][O]2[Li][O][C]12']	3
['[Li][O]1[Li][O][C]1=[O]'] -> ['[Li][O]1[Li]2[O][C]21[O]']	3
['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]', '[Li]']	3
['[H][C]1([H])[O][C]([O]([Li])[Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C][O][C]1([H])[H]', '[Li][O][Li]']	3
['[Li]1[O][C]2[O][Li][O]12'] -> ['[Li][O]1[Li][O][C]1[O]']	3
['[H][C]([H])[C]([H])([H])[O][C]([O])[O][Li]'] -> ['[H][C]([H])[C]([H])[H]', '[Li][O][C]([O])[O]']	3
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]([H])[C]([H])([H])[O][C]([O])[O][Li]']	3
['[Li][O]1[Li][O][C]1[O]'] -> ['[Li]1[O][C]2[O][Li][O]12']	3
['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]', '[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O][C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]']	3
['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][O]1'] -> ['[H][C]([H])[C]([H])([H])[O][C]12[O][Li]1[O]2']	3
['[H][C]1([H])[O][C]([O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]']	2
['[H][C]([H])[C]([H])([H])[O][C]([O])[O][Li]'] -> ['[H][C]([H])[C]([H])([H])[O][C](=[O])[O][Li]']	2
['[H][C]([H])[C]([H])([H])[O][C](=[O])[O][Li]'] -> ['[H][C]([H])[C]([H])[H]', '[Li][O][C]([O])=[O]']	2
